map_creation_id,M0,M1,M2,M3,M4,M5,M6
1510731004982.097,9.12110887042147,4.06402754141909,3.79633159533943,4.30580098306228,5.35684694111383,3.59423763213508,5.92368767606886
1510731004982.146,5.70172348969822,3.98160799318613,3.3244216480704,3.44969349778647,3.9806942315797,3.40093269735231,4.38878909576862
1510731004982.167,7.5701001022566,4.22404935309346,5.52640893305139,3.34569282850504,4.65752880103284,3.19371501949513,5.62005290271982
1510731004982.184,9.95241969114281,3.94106940058609,5.07736519063243,4.05082283862331,5.50527437620019,3.54985509864187,6.40483992932972
1510731004982.201,9.11663841658097,4.28380278335357,4.29341163674621,4.08063747063965,5.2799534244469,3.50376095171183,6.05777092296618
1510731004982.218,9.60678156551813,3.62405364241144,3.66663340936622,4.82464815152972,5.8362641938695,3.63167363469978,6.05401377545212
1510731004982.234,9.85800540390829,7.01241942420963,3.35172606631519,4.52231764253283,5.86479297018483,3.12806177457462,7.14698329915112
1510731004982.251,7.11105881253985,4.96002802557687,3.56556642800706,3.41631615944704,4.29146049843912,3.39720133536898,5.24599853652814
1510731004982.267,9.82360674892078,3.39325298403076,3.96336447374583,3.41644575603581,4.57473336163845,4.12240720746456,5.69483246427465
1510731004982.284,8.36924040803493,3.35799446496134,5.14604206779973,4.52926123375644,5.70566710189402,3.2146172041264,5.84202764125832
1510731004982.302,4.92107297045737,4.89190223232647,3.27567336257004,3.20572896749743,3.73121085856019,3.16024885130057,4.36289956821829
1510731004982.317,9.24317373051399,4.80791515632392,4.37247494847146,4.18771264075564,5.47088816193734,3.35941634953713,6.33488977647712
1510731004982.334,10.0085504847058,3.10594183637991,7.15387146031162,3.16888476863779,5.0661713112161,3.54070966963643,6.39571541614441
1510731004982.350,7.58765853830537,4.74780683629717,4.48049986150008,3.31027609622446,4.44116104769703,3.34563003350192,5.53065700783986
1510731004982.367,9.13613878480144,4.13865266835336,4.99354992873614,4.60943737841043,5.92880345996818,3.19394955485395,6.35235184037391
1510731004982.383,9.02202522463272,3.13199667896634,3.20607394167816,5.48644748164902,6.22940161049187,3.51970635964389,5.7721849111875
1510731004982.399,7.2893867940333,5.6187150715953,3.12308226370122,3.78307127212533,4.62961758112529,3.27018813643927,5.53243539877646
1510731004982.415,9.17071379590639,3.46128129727119,5.48264362242239,4.27666250601964,5.65948754916332,3.34048840593833,6.15173085645902
1510731004982.432,7.70377726131274,3.21090257589923,3.60916974268517,4.04188940409935,4.78890899679338,3.6567853208921,5.03143041259955
