map_creation_id,M0,M1,M2,M3,M4,M5,M6
1512381557288.089,0,0,0,0,0,0,0
1512381557288.097,2,2,0,0,2,2,2
1512381557288.106,4,4,0,0,4,4,4
1512381557288.113,6,6,0,0,6,6,6
1512381557288.122,8,8,0,0,8,8,8
1512381557288.131,10,10,0,0,10,10,10
1512381557288.139,10,10,0,0,10,10,10
1512381557288.147,8,8,0,0,8,8,8
1512381557288.155,6,6,0,0,6,6,6
1512381557288.163,4,4,0,0,4,4,4
1512381557288.172,2,2,0,0,2,2,2
1512381557288.181,0,0,0,0,0,0,0
1512381557288.189,0,0,0,0,0,0,0
1512381557288.198,0,2,0,0,2,2,2
1512381557288.206,0,4,0,0,4,4,4
1512381557288.214,0,6,0,0,6,6,6
1512381557288.222,0,8,0,0,8,8,8
1512381557288.230,0,10,0,0,10,10,10
1512381557288.237,0,10,0,0,10,10,10
1512381557288.246,0,8,0,0,8,8,8
1512381557288.254,0,6,0,0,6,6,6
1512381557288.262,0,4,0,0,4,4,4
1512381557288.270,0,2,0,0,2,2,2
1512381557288.279,0,0,0,0,0,0,0
1512381557288.287,0,0,0,0,0,0,0
1512381557288.295,2,0,0,0,2,2,2
1512381557288.303,4,0,0,0,4,4,4
1512381557288.311,6,0,0,0,6,6,6
1512381557288.319,8,0,0,0,8,8,8
1512381557288.327,10,0,0,0,10,10,10
1512381557288.335,10,0,0,0,10,10,10
1512381557288.344,8,0,0,0,8,8,8
1512381557288.353,6,0,0,0,6,6,6
1512381557288.361,4,0,0,0,4,4,4
1512381557288.370,2,0,0,0,2,2,2
1512381557288.378,0,0,0,0,0,0,0
1512381557288.388,0,0,0,0,0,0,0
1512381557288.397,0,0,0,0,2,2,2
1512381557288.407,0,0,0,0,4,4,4
1512381557288.417,0,0,0,0,6,6,6
1512381557288.426,0,0,0,0,8,8,8
1512381557288.435,0,0,0,0,10,10,10
1512381557288.443,0,0,0,0,10,10,10
1512381557288.451,0,0,0,0,8,8,8
1512381557288.461,0,0,0,0,6,6,6
1512381557288.470,0,0,0,0,4,4,4
1512381557288.478,0,0,0,0,2,2,2
1512381557288.488,0,0,0,0,0,0,0
1512381557288.496,0,0,0,0,0,0,0
1512381557288.505,2,2,2,2,0,2,2
1512381557288.514,4,4,4,4,0,4,4
1512381557288.523,6,6,6,6,0,6,6
1512381557288.531,8,8,8,8,0,8,8
1512381557288.540,10,10,10,10,0,10,10
1512381557288.548,10,10,10,10,0,10,10
1512381557288.556,8,8,8,8,0,8,8
1512381557288.565,6,6,6,6,0,6,6
1512381557288.574,4,4,4,4,0,4,4
1512381557288.582,2,2,2,2,0,2,2
1512381557288.590,0,0,0,0,0,0,0
1512381557288.599,0,0,0,0,0,0,0
1512381557288.608,0,2,2,2,0,2,2
1512381557288.616,0,4,4,4,0,4,4
1512381557288.624,0,6,6,6,0,6,6
1512381557288.633,0,8,8,8,0,8,8
1512381557288.641,0,10,10,10,0,10,10
1512381557288.649,0,10,10,10,0,10,10
1512381557288.657,0,8,8,8,0,8,8
1512381557288.666,0,6,6,6,0,6,6
1512381557288.675,0,4,4,4,0,4,4
1512381557288.683,0,2,2,2,0,2,2
1512381557288.691,0,0,0,0,0,0,0
1512381557288.699,0,0,0,0,0,0,0
1512381557288.709,2,0,2,2,0,2,2
1512381557288.717,4,0,4,4,0,4,4
1512381557288.725,6,0,6,6,0,6,6
1512381557288.733,8,0,8,8,0,8,8
1512381557288.742,10,0,10,10,0,10,10
1512381557288.750,10,0,10,10,0,10,10
1512381557288.758,8,0,8,8,0,8,8
1512381557288.766,6,0,6,6,0,6,6
1512381557288.774,4,0,4,4,0,4,4
1512381557288.784,2,0,2,2,0,2,2
1512381557288.792,0,0,0,0,0,0,0
1512381557288.801,0,0,0,0,0,0,0
1512381557288.809,0,0,2,2,0,2,2
1512381557288.819,0,0,4,4,0,4,4
1512381557288.830,0,0,6,6,0,6,6
1512381557288.839,0,0,8,8,0,8,8
1512381557288.849,0,0,10,10,0,10,10
1512381557288.858,0,0,10,10,0,10,10
1512381557288.867,0,0,8,8,0,8,8
1512381557288.877,0,0,6,6,0,6,6
1512381557288.888,0,0,4,4,0,4,4
1512381557288.897,0,0,2,2,0,2,2
1512381557288.906,0,0,0,0,0,0,0
1512381557288.917,0,0,0,0,0,0,0
1512381557288.928,2,2,0,2,0,2,2
1512381557288.939,4,4,0,4,0,4,4
1512381557288.949,6,6,0,6,0,6,6
1512381557288.960,8,8,0,8,0,8,8
1512381557288.972,10,10,0,10,0,10,10
1512381557288.984,10,10,0,10,0,10,10
1512381557288.994,8,8,0,8,0,8,8
1512381557289.005,6,6,0,6,0,6,6
1512381557289.014,4,4,0,4,0,4,4
1512381557289.025,2,2,0,2,0,2,2
1512381557289.034,0,0,0,0,0,0,0
1512381557289.044,0,0,0,0,0,0,0
1512381557289.055,0,2,0,2,0,2,2
1512381557289.067,0,4,0,4,0,4,4
1512381557289.076,0,6,0,6,0,6,6
1512381557289.085,0,8,0,8,0,8,8
1512381557289.095,0,10,0,10,0,10,10
1512381557289.105,0,10,0,10,0,10,10
1512381557289.114,0,8,0,8,0,8,8
1512381557289.122,0,6,0,6,0,6,6
1512381557289.132,0,4,0,4,0,4,4
1512381557289.142,0,2,0,2,0,2,2
1512381557289.151,0,0,0,0,0,0,0
1512381557289.163,0,0,0,0,0,0,0
1512381557289.175,2,0,0,2,0,2,2
1512381557289.186,4,0,0,4,0,4,4
1512381557289.197,6,0,0,6,0,6,6
1512381557289.209,8,0,0,8,0,8,8
1512381557289.221,10,0,0,10,0,10,10
1512381557289.232,10,0,0,10,0,10,10
1512381557289.242,8,0,0,8,0,8,8
1512381557289.252,6,0,0,6,0,6,6
1512381557289.263,4,0,0,4,0,4,4
1512381557289.275,2,0,0,2,0,2,2
1512381557289.287,0,0,0,0,0,0,0
1512381557289.299,0,0,0,0,0,0,0
1512381557289.312,0,0,0,2,0,2,2
1512381557289.322,0,0,0,4,0,4,4
1512381557289.335,0,0,0,6,0,6,6
1512381557289.347,0,0,0,8,0,8,8
1512381557289.357,0,0,0,10,0,10,10
